2023-12-21 10:19:27,585 INFO    MainThread:168 [wandb_setup.py:_flush():68] Configure stats pid to 168
2023-12-21 10:19:27,586 INFO    MainThread:168 [wandb_setup.py:_flush():68] Loading settings from /root/.config/wandb/settings
2023-12-21 10:19:27,586 INFO    MainThread:168 [wandb_setup.py:_flush():68] Loading settings from /content/drive/MyDrive/MERIDA/Pytorch-UNet/utils/wandb/settings
2023-12-21 10:19:27,586 INFO    MainThread:168 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-12-21 10:19:27,586 INFO    MainThread:168 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-12-21 10:19:27,586 INFO    MainThread:168 [wandb_setup.py:_flush():68] Applying login settings: {'anonymous': 'must'}
2023-12-21 10:19:27,586 INFO    MainThread:168 [wandb_setup.py:_flush():68] Applying login settings: {'api_key': '***REDACTED***'}
2023-12-21 10:19:27,587 INFO    MainThread:168 [wandb_init.py:_log_setup():476] Logging user logs to /content/drive/MyDrive/MERIDA/Pytorch-UNet/utils/wandb/run-20231221_101927-2qxtt88j/logs/debug.log
2023-12-21 10:19:27,588 INFO    MainThread:168 [wandb_init.py:_log_setup():477] Logging internal logs to /content/drive/MyDrive/MERIDA/Pytorch-UNet/utils/wandb/run-20231221_101927-2qxtt88j/logs/debug-internal.log
2023-12-21 10:19:27,588 INFO    MainThread:168 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7ba924312ad0>
2023-12-21 10:19:27,589 INFO    MainThread:168 [wandb_init.py:init():516] calling init triggers
2023-12-21 10:19:27,589 INFO    MainThread:168 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-12-21 10:19:27,589 INFO    MainThread:168 [wandb_init.py:init():569] starting backend
2023-12-21 10:19:27,589 INFO    MainThread:168 [wandb_init.py:init():573] setting up manager
2023-12-21 10:19:27,594 INFO    MainThread:168 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-21 10:19:27,601 INFO    MainThread:168 [wandb_init.py:init():580] backend started and connected
2023-12-21 10:19:27,617 INFO    MainThread:168 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2023-12-21 10:19:32,631 INFO    MainThread:168 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-12-21 10:19:32,631 INFO    MainThread:168 [wandb_init.py:init():658] updated telemetry
2023-12-21 10:19:37,237 INFO    MainThread:168 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-12-21 10:19:37,894 INFO    MainThread:168 [wandb_run.py:_on_init():2000] communicating current version
2023-12-21 10:19:38,108 INFO    MainThread:168 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.16.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-12-21 10:19:38,109 INFO    MainThread:168 [wandb_init.py:init():728] starting run threads in backend
2023-12-21 10:19:38,303 INFO    MainThread:168 [wandb_run.py:_console_start():1980] atexit reg
2023-12-21 10:19:38,303 INFO    MainThread:168 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-12-21 10:19:38,303 INFO    MainThread:168 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-12-21 10:19:38,303 INFO    MainThread:168 [wandb_run.py:_redirect():1925] Redirects installed.
